dimension,deepseek_v4_pro,deepseek_v4_flash,gpt4_class,claude_class,gemini_class,llama_class,mistral_class,hybrid_neuro_symbolic
memory,3-tier hybrid:working/episodic/parametric,2-tier:context+vector,Unified transformer+retrieval,Constitutional memory with value anchoring,Multimodal memory: text+vision+audio,Open-weight memory architecture,Efficient MoE memory routing,Symbolic knowledge graph + neural memory
reasoning,MCTS + tree-of-thought,Chain-of-thought + self-consistency,Transformer reasoning with tool loops,Careful step-by-step with uncertainty estimation,Multimodal reasoning across modalities,Open-source reasoning framework,Sparse MoE reasoning pathways,Logical deduction + neural pattern matching
learning,3-loop: in-context/fine-tune/arch-search,2-loop: in-context/fine-tune,Scaling-law driven improvement,Value-aligned learning from feedback,Multimodal continual learning,Community-driven open improvement,Efficient fine-tuning with adapters,Symbolic rule extraction + neural tuning
tool use,Full tool registry with composition,Basic function calling,Advanced plugin ecosystem,Cautious tool use with safety checks,API-first tool integration,Open-source tool frameworks,Efficient tool invocation,Symbolic planning + neural execution
world model,Causal+social+domain models,Implicit in parameters,Learned world simulator,Value-aligned world understanding,Multimodal world representation,Open-weight world model,Efficient compressed world model,Symbolic physics + neural perception
safety,Multi-layer: constitution/guardrails/audit,Context-level filtering,Runtime monitoring with oversight,Constitutional AI core,Privacy-first safety design,Community safety standards,Efficiency-aware safety,Formal verification + neural guardrails
evaluation,Multi-dimension + self-assessment,Benchmark-based,Comprehensive capability eval,Value alignment + capability,Multimodal benchmarks,Open evaluation framework,Sparse evaluation metrics,Formal theorem proving + empirical tests
persistence,Stateless core + stateful sessions,Session-based,Cloud-native distributed,Context-window based,Distributed across TPUs,Self-hosted infrastructure,Efficient memory management,Persistent knowledge graph + neural state
multi-agent,Orchestrator + specialists + critic,Basic orchestrator,Agent framework with tools,Collaborative multi-agent with values,Multimodal agent teams,Decentralized agent network,Sparse agent coordination,Symbolic planner + neural executors
feasibility,5yr narrow/12yr general AGI,Immediately deployable,5yr timeline,7yr timeline with safety,3yr multimodal AGI,5yr open-source AGI,3yr efficient AGI,10yr full AGI
